report_date,facility_name,commodity_name,special_grade,type,legtype,conversion_factor_imperial,start_physical_inventory_quantity_mt,start_inventory_moisture,physical_inventory_quantity_mt,inventory_moisture,intermediate_inv_vol_mt,total_unloads_quantity,total_unloads_moisture,actual_volume_metric,to_process_moisture,moisture_adjusted_vol,handling_loss,handling_loss_adj_vol,actual_volume_processed,cleaning_adjustment,cleaning_aspiration_adj_vol,report_start_time,report_end_time,report_date_month_start_date,region,imperial_uom,sam_run_timestamp
2020-01-01 00:00:00,"Camrose, US",Canola,Canola-Canada,Facility inventory,NULL,44.0924,12922,0.0995,9394.965656,0.0995,12922,0,0,3519.179208,0.09749,3527.034344,0,0,3527.034344,0,0,2020-01-01 07:00:00,2020-01-02 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-01 00:00:00,"Gunsville, US",Soyabean,Yellow Soybeans,Facility inventory,NULL,36.7437,21275.17126,0.1198,18860.82127,0.1198,21275.17126,0,0,2389.819394,0.11254,2409.530924,0.002,4.81906185,2414.349986,0,0,2020-01-01 07:00:00,2020-01-02 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-01 00:00:00,"IowFalls, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,11323.80597,0.1249,9557.01192,0.12501343,11675.27109,351.4651184,0.12866809,2078.672486,0.10835,2118.259171,0,0,2118.259171,0,0,2020-01-01 07:00:00,2020-01-02 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-01 00:00:00,"Tula Soybean , Mexico",Soyabean,Yellow Soybeans,Facility inventory,NULL,36.7437,27532,0.11429556,27532,0.11429556,27532,0,0,0,0,0,0.002,0,0,0,0,2020-01-01 07:00:00,2020-01-02 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-01 00:00:00,"Wich Biodiesel, US",Biodiesel,Biodiesel,Facility inventory,,298.406,0,0,0,0,0,0,0,588.710637,0,588.710637,0,0,588.710637,0,0,2020-01-01 07:00:00,2020-01-02 07:00:00,2020-01-01 00:00:00,NA,Gallons,2020-11-11 10:02:26
2020-01-02 00:00:00,"Fayeville2, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,33511.42966,0.1254,34604.73547,0.12610473,38018.28805,4506.858387,0.13134488,3302.312157,0.09802,3408.439925,0.0015,5.11265989,3413.552585,0,0,2020-01-02 06:00:00,2020-01-03 06:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-02 00:00:00,"Sx City, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,29814.94275,0.11759824,31853.26274,0.11765716,36313.3098,6498.367051,0.11792751,4354.064499,0.09618,4460.047061,0,0,4460.047061,0,0,2020-01-02 07:00:00,2020-01-03 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-02 00:00:00,"Wich, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,26576.89517,0.10476546,27739.24878,0.10485472,30645.37018,4068.475007,0.10543777,2862.286609,0.09296,2900.320753,0.002,5.80064151,2906.121394,0,0,2020-01-02 07:00:00,2020-01-03 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-03 00:00:00,"Bloom, US",Soyabean,Non GMO Yellow Soybeans,Facility inventory,Unload,36.7437,14302.35139,0.12300883,16479.19072,0.1229921,16479.19072,2176.839336,0.12288215,0,0,0,0.002,0,0,0,0,2020-01-03 07:00:00,2020-01-04 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-03 00:00:00,"CR East, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,21314.23819,0.12842281,21579.87237,0.12866099,24318.28881,3004.050621,0.13035095,2665.643989,0.10666,2732.950533,0.002,5.46590107,2738.416434,0,0,2020-01-03 07:00:00,2020-01-04 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-03 00:00:00,"Fayeville2, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,34604.73547,0.12610473,32901.59648,0.1261445,36257.60673,1652.871269,0.12697708,3264.448523,0.10298,3350.98378,0.0015,5.02647567,3356.010256,0,0,2020-01-03 06:00:00,2020-01-04 06:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-03 00:00:00,"Gunsville, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,17679.0408,0.11916058,16126.00721,0.11911293,18324.99018,645.9493786,0.1178088,2192.371432,0.11822,2194.593777,0.002,4.38918755,2198.982964,0,0,2020-01-03 07:00:00,2020-01-04 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-03 00:00:00,"Sx City, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,31853.26274,0.11765716,33340.12662,0.11760249,37788.4528,5935.190057,0.11730911,4331.533041,0.09381,4448.326178,0,0,4448.326178,0,0,2020-01-03 07:00:00,2020-01-04 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-03 00:00:00,"Tula Soybean , Mexico",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,26980.16045,0.11446206,26191.10579,0.11456425,28161.32045,1181.16,0.11689839,1941.77677,0.10339,1966.282096,0.002,3.93256419,1970.21466,0,0,2020-01-03 07:00:00,2020-01-04 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-04 00:00:00,"Fayeville2, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,32901.59648,0.1261445,30724.48314,0.12621063,33871.70443,970.1079561,0.12845344,3077.523621,0.10776,3142.50753,0.0015,4.71376129,3147.221291,0,0,2020-01-04 06:00:00,2020-01-05 06:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-04 00:00:00,"Kansas City BD, US",Biodiesel,Biodiesel,Facility inventory,,298.406,0,0,0,0,0,0,0,636.7147181,0,636.7147181,0,0,636.7147181,0,0,2020-01-04 07:00:00,2020-01-05 07:00:00,2020-01-01 00:00:00,NA,Gallons,2020-11-11 10:02:26
2020-01-04 00:00:00,"Kansas City, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,29017.6697,0.11741891,26205.57522,0.11750045,31127.60347,2109.933775,0.11862186,4916.7886,0.11656,4922.028256,0,0,4922.028256,0,0,2020-01-04 07:00:00,2020-01-05 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-04 00:00:00,"Sx City, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,33340.12662,0.11760249,32169.20906,0.1176041,36716.79359,3376.666969,0.11762003,4427.004762,0.09357,4547.584526,0,0,4547.584526,0,0,2020-01-04 07:00:00,2020-01-05 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-05 00:00:00,"Bloom, US",Soyabean,Non GMO Yellow Soybeans,Facility inventory,NULL,36.7437,16479.19072,0.1229921,15542.43132,0.1229921,16479.19072,0,0,907.6579563,0.09668,934.8896231,0.002,1.86977925,936.7594023,0,0,2020-01-05 07:00:00,2020-01-06 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-05 00:00:00,"Camrose, US",Canola,Canola-Canada,Facility inventory,NULL,44.0924,13789.51392,0.0963676,10176.34767,0.0963676,13789.51392,0,0,3630.048012,0.10057,3613.166243,0,0,3613.166243,0,0,2020-01-05 07:00:00,2020-01-06 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-05 00:00:00,"Kansas City, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,26205.57522,0.11750045,22123.13119,0.11757981,27069.66848,864.0932596,0.11998649,4944.689201,0.11725,4946.537293,0,0,4946.537293,0,0,2020-01-05 07:00:00,2020-01-06 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-05 00:00:00,"Sy, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,34230.38281,0.11741427,31465.23017,0.11743571,34260.25671,29.87390003,0.142,2732.189736,0.09894,2789.447642,0.002,5.57889528,2795.026538,0,0,2020-01-05 06:00:00,2020-01-06 06:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-05 00:00:00,"Sx City, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,32169.20906,0.1176041,29466.7013,0.11761262,32636.31421,467.1051438,0.11819923,3095.238367,0.09641,3169.612907,0,0,3169.612907,0,0,2020-01-05 07:00:00,2020-01-06 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-05 00:00:00,"Wich, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,27369.84401,0.1050862,24933.28664,0.10496194,27697.21405,327.3700445,0.0945728,2727.896223,0.09495,2758.410592,0.002,5.51682118,2763.927413,0,0,2020-01-05 07:00:00,2020-01-06 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-06 00:00:00,"CR East, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,16794.54469,0.12866099,17971.54742,0.12900735,20653.13128,3858.586592,0.13051486,2603.630022,0.10472,2676.231394,0.002,5.35246279,2681.583856,0,0,2020-01-06 07:00:00,2020-01-07 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-06 00:00:00,"Fayeville2, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,30724.48314,0.12621063,40008.22577,0.12601373,40967.62022,10243.13708,0.12542311,940.9430548,0.11021,957.9575184,0.0015,1.43693628,959.3944547,0,0,2020-01-06 06:00:00,2020-01-07 06:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-06 00:00:00,"Gunsville, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,13773.64967,0.11911293,13456.2979,0.11869539,14634.44981,860.8001452,0.11201428,1168.11886,0.1129,1175.800313,0.002,2.35160063,1178.151914,0,0,2020-01-06 07:00:00,2020-01-07 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-06 00:00:00,"Wich Biodiesel, US",Biodiesel,Biodiesel,Facility inventory,,298.406,0,0,0,0,0,0,0,676.0040912,0,676.0040912,0,0,676.0040912,0,0,2020-01-06 07:00:00,2020-01-07 07:00:00,2020-01-01 00:00:00,NA,Gallons,2020-11-11 10:02:26
2020-01-07 00:00:00,"Bloom, US",Soyabean,Non GMO Yellow Soybeans,Facility inventory,NULL,36.7437,14579.67125,0.1229921,13630.20159,0.1229921,14579.67125,0,0,921.0439592,0.09773,947.5745122,0.002,1.89514902,949.4696613,0,0,2020-01-07 07:00:00,2020-01-08 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-07 00:00:00,"Bloom, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,8288.029241,0.12441208,10610.06498,0.12488128,10610.06498,2322.035743,0.12655598,0,0,0,0.002,0,0,0,0,2020-01-07 07:00:00,2020-01-08 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-07 00:00:00,"CR East, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,17971.54742,0.12900735,20241.69761,0.12907658,22726.89533,4755.347909,0.12933821,2409.746444,0.1036,2480.23725,0.002,4.9604745,2485.197725,0,0,2020-01-07 07:00:00,2020-01-08 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-07 00:00:00,"Fayeville2, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,40008.22577,0.12601373,40460.94391,0.12648762,43865.55136,3857.325592,0.13140276,3314.85399,0.10418,3399.508185,0.0015,5.09926228,3404.607448,0,0,2020-01-07 06:00:00,2020-01-08 06:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
2020-01-07 00:00:00,"Kansas City BD, US",Biodiesel,Biodiesel,Facility inventory,,298.406,0,0,0,0,0,0,0,636.7142607,0,636.7142607,0,0,636.7142607,0,0,2020-01-07 07:00:00,2020-01-08 07:00:00,2020-01-01 00:00:00,NA,Gallons,2020-11-11 10:02:26
2020-01-07 00:00:00,"Wich Biodiesel, US",Biodiesel,Biodiesel,Facility inventory,,298.406,0,0,0,0,0,0,0,738.1241181,0,738.1241181,0,0,738.1241181,0,0,2020-01-07 07:00:00,2020-01-08 07:00:00,2020-01-01 00:00:00,NA,Gallons,2020-11-11 10:02:26
2020-01-07 00:00:00,"Wich, US",Soyabean,Yellow Soybeans,Facility inventory,Unload,36.7437,26001.91067,0.10474795,27033.47515,0.10429373,29986.94197,3985.031298,0.10132999,2909.233433,0.09249,2947.571677,0.002,5.89514335,2953.46682,0,0,2020-01-07 07:00:00,2020-01-08 07:00:00,2020-01-01 00:00:00,NA,Bushels,2020-11-11 10:02:26
